page,name,price,product_url,image_url
1,Плед Трикси Тедди 150x200,1090,https://www.divan.ru/product/pled-triksi-bears-150x200,https://cdn0.divan.ru/img/v1/BF86FV9PVAblzH-j9Ons__SDBVIC_Xl73lX1EWwgwR0/t:0::0:0/pd:30:30:30:30/rs:fit:364:364:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzU0NTQ1NDgucG5n.jpg
1,Кровать Милтон 90 Велюр Серый,29 990,https://www.divan.ru/product/krovat-milton-90-velvet-silver,https://cdn0.divan.ru/img/v1/r2VH0ziF-wEa43fKgRUsqnye8QhecRhSeQf1nrAjnmI/t:0::0:0/pd:30:30:30:30/rs:fit:364:364:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzU1ODUxMTMucG5n.jpg
1,Кровать-трансформер детская Кейла 80 Белый,22 990,https://www.divan.ru/product/detskaya-krovat-kejla-1-white,https://cdn0.divan.ru/img/v1/w0106an0YBkTTR3KBXKosDY2PS4Mh3-kPvedPkoiP1A/t:0::0:0/pd:30:30:30:30/rs:fit:364:364:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzUzOTYxNTkucG5n.jpg
1,Кресло компьютерное детское Лисмор Трикотаж Розовый,13 990,https://www.divan.ru/product/kreslo-kompyuternoe-detskoe-lismor-pink,https://cdn0.divan.ru/img/v1/VWYq2hNiEAqBUEB5wg2cfM1CdQKxGZSZUfRJDRgdnPg/t:0::0:0/pd:100:100:100:100/rs:fit:224:224:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzUyOTg3ODIucG5n.jpg
1,Полка детская Кейла 73x15 Белый,2290,https://www.divan.ru/product/polka-detskaya-kejla-1-white,https://cdn0.divan.ru/img/v1/ZYd9IcajipaQuB-DqrpoLuonF-AAGrFdy2MBpyiMB0w/t:0::0:0/pd:30:30:30:30/rs:fit:364:364:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzUzOTYzMzYucG5n.jpg
1,,,https://www.divan.ru/category/promo-vigge,
1,Письменный стол Энзо 107x60 Светло-бежевый/Терракотовый,19 990,https://www.divan.ru/product/pismennyj-stol-enzo-1-ivory-terra,https://cdn0.divan.ru/img/v1/c4j8VeGoQhqXQ6K4oep7fnEqTta8CJ0QcUklTthajis/t:0::0:0/pd:55:55:55:55/rs:fit:314:314:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzU4NDY3MDIucG5n.jpg
1,Детская кровать Милна Белый,11 990,https://www.divan.ru/product/detskaya-krovat-milna-white,https://cdn0.divan.ru/img/v1/bfeHRr4vu0Get_k7Q0CG3q1fBNklgjdoDU39A35ZKyI/t:0::0:0/pd:30:30:30:30/rs:fit:364:364:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzUyMjA4NDMucG5n.jpg
1,Детская кровать Дебби-1 80 Мех Молочный,36 990,https://www.divan.ru/product/detskaya-krovat-debbi-1-80-cozy-light,https://cdn0.divan.ru/img/v1/PO0W7MXjalCNe8KxSpDtUN703FBNjmte4yU5akiI3G4/t:0::0:0/pd:30:30:30:30/rs:fit:364:364:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzU3MDA4MTgucG5n.jpg
1,Стол детский Руффи 70x50 Белый,3290,https://www.divan.ru/product/stol-ruffi-white,https://cdn0.divan.ru/img/v1/QrCWdQi7bxu3qtQPR52knJvHG1dq5OKImDdT2VOv4H8/t:0::0:0/pd:55:55:55:55/rs:fit:314:314:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzQ5MTY1NjQucG5n.jpg
1,Стул детский Руффи Белый/Древесный,1990,https://www.divan.ru/product/stul-detskij-ruffi-white,https://cdn0.divan.ru/img/v1/BqoBcQtXfs-eNNvuFjL4AmVvnOOeG8XG60G-VkvbDMw/t:0::0:0/pd:100:100:100:100/rs:fit:224:224:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzQ5MTY1NTkucG5n.jpg
1,Кровать Кейси-2 Велюр Бежевый,34 990,https://www.divan.ru/product/krovat-kejsi-2-90-velvet-beige,https://cdn0.divan.ru/img/v1/3SAWNz6AJi6foY8fh6L6g9FrdLoJMhtM9MerUKrz23I/t:0::0:0/pd:30:30:30:30/rs:fit:364:364:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzU0MTY3NzcucG5n.jpg
1,Пуф Мелми Кит Велюр Светло-серый,6990,https://www.divan.ru/product/puf-melmi-whale-grey,https://cdn0.divan.ru/img/v1/bEXcfhVunbgemFdnRuTicwbhLZiLIvgJdbWXwBaU-6E/t:0::0:0/pd:85:85:85:85/rs:fit:254:254:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzUzMTEyNTQucG5n.jpg
1,Ковер Мэсс Зеленый-Розовый 160x230,12 990,https://www.divan.ru/product/kover-mess-zelenyj-rozovyj-160x230,https://cdn0.divan.ru/img/v1/F2q2UlsZmfeWUtmVjLTHeCDnG8OVhSUFRStdJv52yc8/t:0::0:0/pd:30:30:30:30/rs:fit:364:364:0:1:ce:0:0/g:ce:0:0/bg:f5f3f1/q:85/czM6Ly9kaXZhbi9wcm9kdWN0LzYwNDEyNDUucG5n.jpg
